company_id,year,metric,computed,source,difference,category
DIVISLAB,Mar 2017,ROE,19.787194325182007,12.2,7.59,Version Difference
DIVISLAB,Mar 2019,ROE,19.448037947391118,12.2,7.25,Version Difference
DIVISLAB,Mar 2020,ROE,18.83720930232558,12.2,6.64,Version Difference
DIVISLAB,Mar 2021,ROE,21.34480903711673,12.2,9.14,Version Difference
DIVISLAB,Mar 2022,ROE,25.2387448840382,12.2,13.04,Version Difference
DLF,Mar 2015,ROE,1.8524608133289489,6.95,5.1,Version Difference
DLF,Mar 2016,ROE,1.2671901616186798,6.95,5.68,Version Difference
DLF,Mar 2018,ROE,12.678768655659708,6.95,5.73,Version Difference
DLF,Mar 2020,ROE,-1.7127761488663744,6.95,8.66,Version Difference
DMART,Mar 2016,ROE,21.038790269559502,14.5,6.54,Version Difference
DMART,Mar 2021,ROE,9.020026263952726,14.5,5.48,Version Difference
DRREDDY,Mar 2017,ROE,10.536617191322787,21.4,10.86,Version Difference
DRREDDY,Mar 2018,ROE,7.532612153993,21.4,13.87,Version Difference
DRREDDY,Mar 2019,ROE,13.904734740444951,21.4,7.5,Version Difference
DRREDDY,Mar 2020,ROE,12.988012052054618,21.4,8.41,Version Difference
DRREDDY,Mar 2021,ROE,11.06513236211099,21.4,10.33,Version Difference
DRREDDY,Mar 2022,ROE,11.35748490526754,21.4,10.04,Version Difference
EICHERMOT,Mar 2016,ROE,36.627429509991785,24.2,12.43,Version Difference
EICHERMOT,Mar 2017,ROE,31.18802619270346,24.2,6.99,Version Difference
EICHERMOT,Mar 2020,ROE,18.30477908025248,24.2,5.9,Version Difference
EICHERMOT,Mar 2021,ROE,11.776534359153699,24.2,12.42,Version Difference
EICHERMOT,Mar 2022,ROE,13.301078680203046,24.2,10.9,Version Difference
GAIL,Mar 2016,ROE,5.147927368623465,14.0,8.85,Version Difference
GAIL,Mar 2017,ROE,8.584149599287622,14.0,5.42,Version Difference
GAIL,Mar 2020,ROE,19.31273849151579,14.0,5.31,Version Difference
